Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1714659411,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1714659412,5,,Aggregated,0.000000,0.000000,200,210,210,220,220,220,220,220,220,220,220,5,5,200.0,193.257679999806,163.94680002122186,219.7098999749869,230.6
1714659413,15,,Aggregated,0.000000,0.000000,200,200,220,220,220,220,220,220,220,220,220,12,12,180.0,175.14233333349694,84.0265000006184,221.14149999106303,230.33333333333334
1714659414,20,,Aggregated,0.000000,0.000000,170,200,210,210,220,220,220,220,220,220,220,20,20,160.0,158.86571500013815,75.21330000599846,221.14149999106303,230.4
1714659415,25,,Aggregated,2.500000,2.500000,160,190,210,210,220,240,290,290,290,290,290,34,34,160.0,154.35095294293097,75.21330000599846,291.1745999881532,230.41176470588235
1714659416,30,,Aggregated,4.000000,4.000000,140,170,190,200,220,220,290,290,290,290,290,47,47,140.0,142.88133404036844,75.21330000599846,291.1745999881532,230.36170212765958
1714659417,35,,Aggregated,5.000000,5.000000,120,170,190,200,220,240,250,290,290,290,290,64,64,120.0,140.16493593589985,69.52319998526946,291.1745999881532,230.375
1714659419,40,,Aggregated,6.800000,6.800000,120,170,190,200,220,240,250,290,290,290,290,79,79,120.0,136.78031392348342,67.73280000197701,291.1745999881532,230.36708860759492
1714659420,45,,Aggregated,9.142857,9.142857,110,140,170,180,220,220,250,250,290,290,290,102,102,110.0,128.6130666666591,57.15300000156276,291.1745999881532,230.33333333333334
1714659421,50,,Aggregated,9.142857,9.142857,120,160,180,190,220,240,250,260,290,290,290,125,125,120.0,134.46613999968395,57.15300000156276,291.1745999881532,230.344
1714659422,55,,Aggregated,9.875000,9.875000,120,160,180,190,220,240,250,260,290,290,290,151,151,120.0,132.64989536386662,57.15300000156276,291.1745999881532,230.35099337748343
